,Mean CPU %,Median CPU %,CPU Std Dev,Process Count,Nice Values,Process States
Part 1,91.925,99.05,25.50504186850682,280,{0: 280},"{'S+': 20, 'R+': 260}"
Part 2,78.06888888888889,89.80000000000001,23.631557264925053,450,{0: 450},"{'Z+': 160, 'S+': 20, 'R+': 270}"
Part 3,65.09193548387097,63.9,27.29032440135737,620,{0: 620},"{'Z+': 330, 'S+': 20, 'R+': 270}"
Part 4,56.33848101265822,46.2,32.04797728914554,790,{0: 790},"{'Z+': 500, 'S+': 30, 'R+': 260}"
